,지역,채널,날짜,시간,요일,카메라높이,정체여부,날씨,낮/밤,앞/뒤,key,car,truck,bus
0,Suwon,CH01,20200720,1700,MON,9m,NH,sunny,낮,뒤,CH01-20200720-1700,2036,1166,75
1,Suwon,CH01,20200720,1730,MON,9m,NH,sunny,낮,뒤,CH01-20200720-1730,2016,872,98
2,Suwon,CH01,20200720,1800,MON,9m,NH,sunny,낮,뒤,CH01-20200720-1800,2134,857,152
3,Suwon,CH01,20200720,1900,MON,9m,RH,sunny,밤,뒤,CH01-20200720-1900,1901,1101,138
4,Suwon,CH01,20200720,1930,MON,9m,NH,sunny,밤,뒤,CH01-20200720-1930,1449,771,130
5,Suwon,CH01,20200720,2000,MON,9m,NH,sunny,밤,뒤,CH01-20200720-2000,1313,506,72
6,Suwon,CH01,20200720,2030,MON,9m,NH,sunny,밤,뒤,CH01-20200720-2030,1286,564,70
7,Suwon,CH01,20200721,1500,TUE,9m,NH,sunny,낮,뒤,CH01-20200721-1500,2096,1771,67
8,Suwon,CH01,20200721,1530,TUE,9m,NH,sunny,낮,뒤,CH01-20200721-1530,1635,1523,47
9,Suwon,CH01,20200721,1600,TUE,9m,NH,sunny,낮,뒤,CH01-20200721-1600,1770,1526,54
10,Suwon,CH01,20200721,1630,TUE,9m,NH,sunny,낮,뒤,CH01-20200721-1630,1776,1367,76
11,Suwon,CH01,20200721,1730,TUE,9m,RH,sunny,낮,뒤,CH01-20200721-1730,4990,1725,300
12,Suwon,CH01,20200721,1800,TUE,9m,RH,sunny,낮,뒤,CH01-20200721-1800,5751,2205,152
13,Suwon,CH01,20200721,1900,TUE,9m,RH,sunny,밤,뒤,CH01-20200721-1900,4921,1654,523
14,Suwon,CH01,20200721,1930,TUE,9m,RH,sunny,밤,뒤,CH01-20200721-1930,3025,1116,105
15,Suwon,CH01,20200721,2030,TUE,9m,NH,sunny,밤,뒤,CH01-20200721-2030,1404,541,60
16,Suwon,CH01,20200721,2100,TUE,9m,NH,sunny,밤,뒤,CH01-20200721-2100,1312,423,90
17,Suwon,CH01,20200722,1330,WED,9m,NH,rainy,낮,뒤,CH01-20200722-1330,7743,5363,192
18,Suwon,CH01,20200722,1400,WED,9m,NH,rainy,낮,뒤,CH01-20200722-1400,401,364,6
19,Suwon,CH01,20200722,1500,WED,9m,NH,rainy,낮,뒤,CH01-20200722-1500,7861,5021,178
20,Suwon,CH01,20200722,1530,WED,9m,NH,rainy,낮,뒤,CH01-20200722-1530,934,680,29
21,Suwon,CH01,20200722,1600,WED,9m,RH,rainy,낮,뒤,CH01-20200722-1600,2474,1640,65
22,Suwon,CH01,20200722,1630,WED,9m,RH,sunny,낮,뒤,CH01-20200722-1630,2998,1870,170
23,Suwon,CH01,20200722,1730,WED,9m,RH,sunny,낮,뒤,CH01-20200722-1730,1137,497,53
24,Suwon,CH01,20200722,1800,WED,9m,RH,sunny,낮,뒤,CH01-20200722-1800,1381,462,100
25,Suwon,CH01,20200722,1830,WED,9m,RH,sunny,밤,뒤,CH01-20200722-1830,1639,530,178
26,Suwon,CH01,20200722,1900,WED,9m,RH,sunny,밤,뒤,CH01-20200722-1900,1394,595,59
27,Suwon,CH01,20201010,1730,SAT,9m,RH,sunny,낮,뒤,CH01-20201010-1730,3646,351,47
28,Suwon,CH01,20201010,1800,SAT,9m,RH,sunny,낮,뒤,CH01-20201010-1800,4379,410,52
29,Suwon,CH01,20201010,1830,SAT,9m,RH,sunny,밤,뒤,CH01-20201010-1830,2930,225,157
30,Suwon,CH01,20201010,1900,SAT,9m,NH,sunny,밤,뒤,CH01-20201010-1900,2266,185,49
31,Suwon,CH01,20201011,1800,SUN,9m,RH,sunny,낮,뒤,CH01-20201011-1800,2512,223,36
32,Suwon,CH01,20201011,1830,SUN,9m,RH,sunny,밤,뒤,CH01-20201011-1830,2105,212,77
33,Suwon,CH01,20201011,1900,SUN,9m,RH,sunny,밤,뒤,CH01-20201011-1900,2097,184,49
34,Suwon,CH01,20201012,1653,MON,9m,RH,sunny,낮,뒤,CH01-20201012-1653,2735,935,37
35,Suwon,CH01,20201012,1753,MON,9m,RH,sunny,낮,뒤,CH01-20201012-1753,2654,777,58
36,Suwon,CH01,20201012,1823,MON,9m,RH,sunny,밤,뒤,CH01-20201012-1823,2698,672,225
37,Suwon,CH01,20201012,1853,MON,9m,RH,sunny,밤,뒤,CH01-20201012-1853,2731,726,60
38,Suwon,CH01,20201012,1923,MON,9m,RH,sunny,밤,뒤,CH01-20201012-1923,2819,752,108
39,Suwon,CH01,20201213,1030,SUN,9m,NH,snow,낮,뒤,CH01-20201213-1030,2571,387,60
40,Suwon,CH02,20200720,1600,MON,9m,NH,sunny,낮,앞,CH02-20200720-1600,2225,933,79
41,Suwon,CH02,20200720,1630,MON,9m,NH,sunny,낮,앞,CH02-20200720-1630,2011,881,73
